,name,price,ratings,image
0,"SHIBU Utensil Kart Momos and Idli Steamer 4 Tier Premium Aluminium Momo Maker with Handles, Durable 4 Tier Steamer for Cooking, Suitable for Home's Kitchen (Silver, Small, 4L Size)",Rs. 649,3.0 out of 5 stars,https://m.media-amazon.com/images/I/61W45anPRIS._AC_UL320_.jpg
1,"SHIBU Utensil Kart Momos 3 Tier Premium Aluminium Momo Maker with Handles, Durable Steamer for Cooking, Small Size 4L, Silver",Rs. 599,3.4 out of 5 stars,https://m.media-amazon.com/images/I/41AIPyeKJXL._AC_UL320_.jpg
2,"SHIBU Aluminum Momos Maker & Steamer With Handles (5L), Silver",Rs. 699,3.7 out of 5 stars,https://m.media-amazon.com/images/I/711qf5TsTWL._AC_UL320_.jpg
3,Daily Deals Cast Iron Pre-Seasoned Grill Pan (Black),"Rs. 1,499",3.8 out of 5 stars,https://m.media-amazon.com/images/I/816+iVrE4-L._AC_UL320_.jpg
4,Ereteken ART Handmade Wooden Non-Stick Serving and Cooking Spoon Set of 7 (Brown),Rs. 80,3.4 out of 5 stars,https://m.media-amazon.com/images/I/61sWh8ocJ+L._AC_UL320_.jpg
5,Classic Shoppe Wooden Serving and Cooking Spoons Wood Brown Spoons Kitchen Utensil Set of 7,Rs. 94,3.6 out of 5 stars,https://m.media-amazon.com/images/I/41J5dIiPxtL._AC_UL320_.jpg
6,"Nickeepopz Miniature Kitchen Set , Mini Kitchen Set , Kitchen Set for Girls , Real Cooking Kit for Play , Steel Kitchen Set for Girls , Choppu Jaman , Miniature Cooking Set for Kids , Baby Kitchen Set Toys for Girls , Mini Kitchen Set for Kids -26pcs",Rs. 425,5.0 out of 5 stars,https://m.media-amazon.com/images/I/71aZaSkqHdL._AC_UL320_.jpg
7,"DRUNNA Stainless Steel Copper Bottom Handi Set of 5 Piece with lid Kitchen Serving, Cooking Bowl with Lid, Pot and Pen with Lid, Panjabi Handi Set with Lid, Cooking Pot with Lid, Milk Pan/Tea Pan",Rs. 730,3.1 out of 5 stars,https://m.media-amazon.com/images/I/41OZ5k1MFKS._AC_UL320_.jpg
8,1000W Portable Mini Radiant Cooktop | Hotplate Coil Stove | Electric Coil Stove for Cooking | Electric Cooking Heater | Grey Metallic Radiant Cooktop,Rs. 999,4.1 out of 5 stars,https://m.media-amazon.com/images/I/619n4y6eePL._AC_UL320_.jpg
9,LYNREX Oil Sprayer for Cooking with Mini Funnel - 100 ml (Multicolor),Rs. 279,3.9 out of 5 stars,https://m.media-amazon.com/images/I/71EXZ7WiqkS._AC_UL320_.jpg
10,"DiSano Extra Light Olive Oil, Indian dishes and frying, 2L",Rs. 899,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71McHB+zzrL._AC_UL320_.jpg
11,"Leeonz Cooking Apron | Adjustable Waterproof Chef Apron with Pocket and 2 Side Coral Velvet Towels for Hands Wiping Quilt for Home Kitchen, Grill, Restaurant (Brown(Coffee), Pack of 1)",Rs. 399,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71SQN3tx+iL._AC_UL320_.jpg
12,ULAMART Clay Kitchen Set 11 Pcs Miniature for Kids | Real Cooking Play Set,Rs. 580,4.0 out of 5 stars,https://m.media-amazon.com/images/I/41QmSdIOwzL._AC_UL320_.jpg
13,"Suzec Disposable (Use and Throw) Food Cooking Plastic Hand Gloves for Protection- Free Size (Transparent, Pack of 1, 100 Pieces) (Plastic Gloves_Pack of 100)",Rs. 89,3.5 out of 5 stars,https://m.media-amazon.com/images/I/71VBJNrvsbL._AC_UL320_.jpg
14,Dealnicy Stainless Steel Copper Bottom Handi with lid - Kitchen Serving & Cookware Bowl Cooking Bowl | Handi Set 5-Pieces | Biryani Handi Set,Rs. 798,3.8 out of 5 stars,https://m.media-amazon.com/images/I/41bB-znmoRL._AC_UL320_.jpg
15,SeGrand Clay Kadai (2 litres) and Tawa (8 inch Diameter) Combo Set - with Handle and Lid for Cooking on Gas - Hand Crafted Terracotta Earthen Pot,Rs. 949,3.7 out of 5 stars,https://m.media-amazon.com/images/I/618VhpR0y6L._AC_UL320_.jpg
16,"KETAMINE 6Pcs/Set Nylon Heat-Resistant Nonstick Spoon Spatula Turner Scoop Kitchen Cooking Utensil Tools Set (Black Color, Set of 1)",Rs. 259,5.0 out of 5 stars,https://m.media-amazon.com/images/I/41JN478nNyL._AC_UL320_.jpg
17,Ikai Asai Hand Crafted Black Clay Medium Cooking Pot,"Rs. 6,000",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61kV4o9Dd4L._AC_UL320_.jpg
18,AmazonBasics Non-Stick 8-Piece Cookware Set,"Rs. 2,529",4.2 out of 5 stars,https://m.media-amazon.com/images/I/715qOOqdKNL._AC_UL320_.jpg
19,"Craftenka Stainless Steel Kadhai / Tasla Heavy Guage Hammered Deep Frying Kadai Fry Pan for Cooking, 14 No. 3500 ML, 28 cm/ 11 Inches (Withoud Handle)",Rs. 699,5.0 out of 5 stars,https://m.media-amazon.com/images/I/51u3wT4U3wL._AC_UL320_.jpg
20,Signamio® Pack of 4 Kitchen Utensils Spoon Set for Cooking with Stainless Steel Core Non Stick Nylon cooking & serving set -(Turner/Skimmer/Ladle/Serving Spoon/Slotted Serving Spoon) Black(5 Pc Combo),Rs. 499,3.7 out of 5 stars,https://m.media-amazon.com/images/I/61AChPRevsS._AC_UL320_.jpg
21,"Spray Lite Natural Cooking Spray, 177g",Rs. 292,3.9 out of 5 stars,https://m.media-amazon.com/images/I/51c4KNPsUeL._AC_UL320_.jpg
22,"ZURATO Oil for Cooking, Refillable Stainless Steel Oil Dispenser Bottle with Mini Funnel, Vinegar Glass Spray Bottle for BBQ, Salad, Baking, Grilling, Roasting, Frying, 1 Piece",Rs. 449,3.7 out of 5 stars,https://m.media-amazon.com/images/I/71PRGEXLLUL._AC_UL320_.jpg
23,Ethnic Forest Luxury Yellow Kitchen Set Cooking Toy with Briefcase and Accessories |Ultimate Kid Chef Bring Along Kitchen Suitcase Set (26 Pieces) | Plastic Kitchen Food Play Set for Girls & Boys,Rs. 359,3.4 out of 5 stars,https://m.media-amazon.com/images/I/61x+oMMp4pL._AC_UL320_.jpg
24,Nirlon Ultimate Induction Base Non Stick Aluminium 2 Piece Cooking Set {1 Fry Pan 24cm - 1.5 Liter|1 Kadai 24cm - 3 Liter},Rs. 848,4.4 out of 5 stars,https://m.media-amazon.com/images/I/91D0WbxKj4L._AC_UL320_.jpg
25,"Xacton Flat Pastry Brush | Multi-Purpose Silicone Durable Easy Use | Oil Cooking Brush for Grilling, Tandoor, Cooking, Baking, BBQ | Brush for Cooking | Cooking Tools | Multicolor - Set of 2",Rs. 109,3.9 out of 5 stars,https://m.media-amazon.com/images/I/61+jaanKn-L._AC_UL320_.jpg
26,Village Decor Indian Earthen Clay Millet Porridge Cooking Bowl (Brown) (2 .5litres),Rs. 649,3.8 out of 5 stars,https://m.media-amazon.com/images/I/41SeCgkrAPL._AC_UL320_.jpg
27,Tirtha Enterprises 24pcs Mini Stainless Steel Utensils Non Toxic Indian Kitchen Set Great Kitchen Toys for Girls (Kid's Love Kitchen Set) Real Cooking Kit for Play,Rs. 480,3.3 out of 5 stars,https://m.media-amazon.com/images/I/618ROI6VhXL._AC_UL320_.jpg
28,"Heart Home Heat Resistant Cotton Kitchen Oven Mitt Microwave Glove Set, Non-Slip Grip and Hanging Loop for Kitchen, Cooking, Baking, Set of 2 (Black), Standard (HS_37_HEARTH020602)",Rs. 199,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61-UdmbG0OS._AC_UL320_.jpg
29,"Kerala Traditional South India Village Pottery Traditional Pre-Seasoned Clay Pot for Cooking on Gas Combo of 3/Earthern Cookware /Manchatti for Cooking/Clay Pot for Cooking Pre-Seasoned (Black,1,2,3L)",Rs. 799,5.0 out of 5 stars,https://m.media-amazon.com/images/I/61cWItAwkuL._AC_UL320_.jpg
30,PIXLINQ Wooden Cooking Spoon Set with Spatulas for Non-Stick Kitchen Utensil Cooking Set Non Scratch Natural Rose Wood Utensils for Cooking (12.5 in),Rs. 470,3.9 out of 5 stars,https://m.media-amazon.com/images/I/61eAWIUiJQL._AC_UL320_.jpg
31,JST Earthen/Clay/Terracotta Brown Kitchen Miniature Toy Set for Cooking Set - 17 Pieces,Rs. 664,4.2 out of 5 stars,https://m.media-amazon.com/images/I/911SqQAw6sL._AC_UL320_.jpg
32,"Black & Green Extra Virgin Cold Press Multipurpose Avocado Cooking Oil Bottle, 1000 ml","Rs. 2,205",4.5 out of 5 stars,https://m.media-amazon.com/images/I/61gQWoQT9ML._AC_UL320_.jpg
33,"Craftsman India online Unglazed Clay Handi/Earthen Pot for Cooking with Lid (Red, 2 L)",Rs. 679,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61PLPR3TD9L._AC_UL320_.jpg
34,"Lifelong Inferno LLIC30 2000 Watt Induction Cooktop for Home with 7 Preset Indian Menu Option and Auto-Shut Off | Easy Cooking, 1 Year Warranty (Grey)",Rs. 999,3.7 out of 5 stars,https://m.media-amazon.com/images/I/81zpEhaWH2L._AC_UL320_.jpg
35,"KOWS® Pack of 2 Stainless Steel Pipe Net Square Roaster 8"" with TNG004B Steel Cooking Tong 7.5"" Roti Chapati, Papad Jali, Paneer Grill, Roti Maker, Barbeque Jali Roaster Kitchen Tool | Combo Set",Rs. 195,5.0 out of 5 stars,https://m.media-amazon.com/images/I/61yj5Jk2pbS._AC_UL320_.jpg
36,"Cooking: 2 Manuscripts - Air Fryer: From Zero To Hero In The Kitchen In 7 Days, Slow Cooker: From Zero To Hero In The Kitchen In 7 Days",Rs. 0,4.5 out of 5 stars,https://m.media-amazon.com/images/I/81Nt4SSsUCL._AC_UL320_.jpg
37,"Nirvika Stainless Steel Handi Set Copper Bottom Handi with Lid Kitchen Serving,Cooking Bowl |Cookware Set /Urli Set 5-Pieces | patila Bhagona",Rs. 799,3.7 out of 5 stars,https://m.media-amazon.com/images/I/81LF-INTC6L._AC_UL320_.jpg
38,LUCID...We Build Relations Plastic Luxury Kitchen Set Cooking Toy with Briefcase and Accessories (Yellow),Rs. 380,3.9 out of 5 stars,https://m.media-amazon.com/images/I/71hInyyallL._AC_UL320_.jpg
39,"Parage Premium Stainless Steel Kitchen Tools Set for Cooking, Set of 5, 35 cm Length, Silver (Contains: 1 Ladle, 1 Skimmer,1 Turner, 1 Spatula, 1 Slotted Turner)-Design2",Rs. 459,4.0 out of 5 stars,https://m.media-amazon.com/images/I/51t6kH98F0L._AC_UL320_.jpg
40,"Craftsman India Online Unglazed Terracotta Clay Pottery Mud Pot/Earthen Handi for Cooking and Serving (Red, 1 L)",Rs. 349,4.1 out of 5 stars,https://m.media-amazon.com/images/I/51QAjCbggGS._AC_UL320_.jpg
41,"Cooking Coconut Oil , 100% Pure , Edible (1 Litre)",Rs. 199,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61hR7qqXAWL._AC_UL320_.jpg
