,name,price,ratings,image
0,"Samsung Galaxy M12 (White,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Rs. 10,299",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71Y8rH2cJiL._AC_UY218_.jpg
1,"Samsung Galaxy Note 20 (Mystic Bronze, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","Rs. 44,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81v6FUkT5CL._AC_UY218_.jpg
2,"I KALL K31 Keypad Mobile (1.8 Inch, Dual Sim), Blue",Rs. 649,2.8 out of 5 stars,https://m.media-amazon.com/images/I/41ibLACxj1L._AC_UY218_.jpg
3,Jio Phone Black,"Rs. 1,695.99",3.3 out of 5 stars,https://m.media-amazon.com/images/I/51qfee2-1rL._AC_UY218_.jpg
4,Micromax X754 Blue,"Rs. 1,250",4.2 out of 5 stars,https://m.media-amazon.com/images/I/616J03JqHtS._AC_UY218_.jpg
5,"I KALL K31 Keypad Mobile (1.8 Inch, Dual Sim), White",Rs. 649,2.8 out of 5 stars,https://m.media-amazon.com/images/I/41rZGYyFHxL._AC_UY218_.jpg
6,"I KALL K260 Smartphone (5.5 Inch, 2GB, 16GB, 4G Volte) (Green)","Rs. 4,499",3.0 out of 5 stars,https://m.media-amazon.com/images/I/41XFboa9DoL._AC_UY218_.jpg
7,"I KALL K200 Smartphone (2GB, 16GB, 4G Volte) (Blue)","Rs. 4,299",1.7 out of 5 stars,https://m.media-amazon.com/images/I/61Dm47uUt1L._AC_UY218_.jpg
8,"Lava FLIP, Blue","Rs. 1,752",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71Q5CsZRqSL._AC_UY218_.jpg
9,Karbonn KX3 (Black Red),Rs. 895,3.6 out of 5 stars,https://m.media-amazon.com/images/I/61DbArwLVFL._AC_UY218_.jpg
10,"OnePlus Nord CE 5G (Blue Void, 8GB RAM, 128GB Storage)","Rs. 24,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61iy2Ru9KdS._AC_UY218_.jpg
11,"Samsung Galaxy M21 2021 Edition (Charcoal Black, 4GB RAM, 64GB Storage) | FHD+ sAMOLED | 6 Months Free Screen Replacement for Prime (SM-M215GZKDINS)","Rs. 12,499",4.2 out of 5 stars,https://m.media-amazon.com/images/I/712+A5mH44L._AC_UY218_.jpg
12,"Redmi Note 10T 5G (Chromium White, 6GB RAM, 128GB Storage) | Dual5G | 90Hz Adaptive Refresh Rate | MediaTek Dimensity 700 7nm Processor","Rs. 16,999",3.1 out of 5 stars,https://m.media-amazon.com/images/I/41hZ6iTHOKL._AC_UY218_.jpg
13,"I KALL Z5 Smartphone (5.5 Inch, 3GB, 16GB) (Pink)","Rs. 4,995",5.0 out of 5 stars,https://m.media-amazon.com/images/I/512vw5cXH+L._AC_UY218_.jpg
14,"I KALL K555 (Triple Sim, 2.8 Inch), Blue","Rs. 1,099",1.0 out of 5 stars,https://m.media-amazon.com/images/I/41tDYeQSXaL._AC_UY218_.jpg
15,Lava A1 (Blue Silver),Rs. 999,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71nJCipMRiL._AC_UY218_.jpg
16,MICROMAX X418 [Black+Silver],"Rs. 1,157",3.5 out of 5 stars,https://m.media-amazon.com/images/I/61jwPxyKUrL._AC_UY218_.jpg
17,Micromax X755 (Blue),"Rs. 1,260",3.5 out of 5 stars,https://m.media-amazon.com/images/I/61yUK14DFfL._AC_UY218_.jpg
18,"realme narzo 50i (Carbon Black, 2GB RAM+32GB Storage) - with No Cost EMI/Additional Exchange Offers","Rs. 7,499",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71djAn3nxoL._AC_UY218_.jpg
19,"Samsung Galaxy S20 FE 5G (Cloud Green, 8GB RAM, 128GB Storage)","Rs. 39,990",4.4 out of 5 stars,https://m.media-amazon.com/images/I/812yohjGZ2L._AC_UY218_.jpg
20,"Samsung Galaxy M32 (Black, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime","Rs. 12,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71Q3iSQAwAS._AC_UY218_.jpg
21,"Samsung Galaxy M12 (White,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Rs. 10,299",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71Y8rH2cJiL._AC_UY218_.jpg
22,"Samsung Galaxy Note 20 (Mystic Bronze, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","Rs. 44,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81v6FUkT5CL._AC_UY218_.jpg
23,Karbonn KX3 (Black Red),Rs. 895,3.6 out of 5 stars,https://m.media-amazon.com/images/I/61DbArwLVFL._AC_UY218_.jpg
24,"I KALL K260 Smartphone (5.5 Inch, 2GB, 16GB, 4G Volte) (Green)","Rs. 4,499",3.0 out of 5 stars,https://m.media-amazon.com/images/I/41XFboa9DoL._AC_UY218_.jpg
25,"Redmi 9 Power (Blazing Blue, 4GB RAM, 64GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Alexa Hands-Free Capable","Rs. 10,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UY218_.jpg
26,Nokia 150 (2020) (Black),"Rs. 2,399",3.9 out of 5 stars,https://m.media-amazon.com/images/I/41t5OLKTM5L._AC_UY218_.jpg
27,"Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","Rs. 10,299",4.1 out of 5 stars,https://m.media-amazon.com/images/I/7162Y5fPdkL._AC_UY218_.jpg
28,"Tecno Spark 7T(Jewel Blue, 4GB RAM, 64GB Storage) 6000 mAh Battery| 48 MP AI Dual Rear Camera","Rs. 8,499",4.0 out of 5 stars,https://m.media-amazon.com/images/I/81aWyRY67SS._AC_UY218_.jpg
29,"I KALL K23 Premium Keypad Mobile (Dual Sim, 1000 mAh) (Black)",Rs. 669,3.0 out of 5 stars,https://m.media-amazon.com/images/I/71B5euiDisL._AC_UY218_.jpg
30,"Micromax X754 Gunmetal Grey, Small","Rs. 1,240",3.8 out of 5 stars,https://m.media-amazon.com/images/I/31LYnToY0SL._AC_UY218_.jpg
31,"OnePlus Nord CE 5G (Blue Void, 8GB RAM, 128GB Storage)","Rs. 24,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61iy2Ru9KdS._AC_UY218_.jpg
32,"Samsung Galaxy M32 (Black, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime","Rs. 12,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71Q3iSQAwAS._AC_UY218_.jpg
33,"I KALL K260 Smartphone (5.5 Inch, 2GB, 16GB, Dual Sim, 4G Volte), Purple","Rs. 4,464",1.0 out of 5 stars,https://m.media-amazon.com/images/I/61zLBhi0ncL._AC_UY218_.jpg
34,Lava A5 (Gold),"Rs. 1,263",3.9 out of 5 stars,https://m.media-amazon.com/images/I/61+ITuvLG+L._AC_UY218_.jpg
